Intersection,Longitude,Latitude,number_of_approaches,number_of_exits,max_number_of_lanes_in_approach,min_number_of_lanes_in_approach,number_of_railway_approaches,number_of_railway_exits,max_number_of_lanes_in_exit,min_number_of_lanes_in_exit,number_of_center_bicycle_approaches,number_of_right_side_bicycle_approaches,number_of_center_bicycle_exits,number_of_right_side_bicycle_exits,signal_present,pedestrian_signal_present,diameter,max_angle,max_curvature,min_curvature,distance_to_next_intersection,shortest_distance_to_railway_crossing,subway_station_present,number_of_tram/train_stops,number_of_bus/trolley_stops,stop_sign,approach_street_types,exit_street_types,approach_max_speed_limit,approach_min_speed_limit,exit_max_speed_limit,exit_min_speed_limit,oneway_approach_count,twoway_approach_count,singleway_approach_count,oneway_exit_count,twoway_exit_count,singleway_exit_count
"('Reed Ranch Road', 'Tiburon Boulevard')",-122.4918253,37.89592178,3,5,1,1,0,0,1,1,0,3,0,5,no,None,195.0431576,144.4410934,1.210382577,0,-1,-1,no,0,0,yes,"{'residential': 1, 'secondary': 1, 'cycleway': 5}","{'residential': 1, 'secondary': 1, 'secondary_link': 1, 'cycleway': 6}",45,25,45,25,3,0,0,3,0,2
"('Revere Avenue', 'Robblee Avenue')",-122.398327,37.736045,3,3,1,1,0,0,1,1,0,3,0,3,no,None,130.2852416,100.9005683,0.268905658,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,3,0,0,3,0
"('Revere Avenue', 'Silver Avenue')",-122.3985815,37.73644,4,4,1,1,0,0,1,1,0,4,0,4,no,None,178.9477689,112.7595568,0.160255714,0.009018232,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 5}","{'residential': 1, 'tertiary': 1, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('Ricardo Road', 'Seminary Drive', 'Vista del Sol')",-122.5138106,37.8910567,4,4,1,1,0,0,1,1,0,4,0,4,no,None,142.9708921,110.7892486,0.588797743,0.06594606,-1,-1,no,0,0,yes,"{'residential': 3, 'cycleway': 4}","{'residential': 3, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Rutland Street', 'Sunnydale Avenue')",-122.4086504,37.7098512,3,3,1,1,0,0,1,1,0,3,0,3,no,None,16.44058978,90.31986871,0.002726924,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 3}",25,25,25,25,0,3,0,0,3,0
"('San Bruno Avenue', 'Thornton Avenue')",-122.4047265,37.7303005,4,4,1,1,0,0,1,1,0,3,0,3,no,None,168.5804966,177.5176078,0.057952752,4.76E-06,-1,-1,no,0,0,yes,"{'motorway_link': 1, 'secondary': 1, 'residential': 1, 'cycleway': 4}","{'motorway_link': 1, 'secondary': 1, 'residential': 1, 'cycleway': 4}",25,25,25,25,1,3,0,1,3,0
"('San Jose Avenue', 'Valley Street')",-122.422439,37.744759,2,3,2,1,0,0,2,1,0,2,0,3,no,None,164.1718672,110.4565151,0.185038608,0,-1,-1,no,0,0,yes,"{'residential': 2, 'primary': 1, 'cycleway': 3}","{'residential': 2, 'primary': 1, 'cycleway': 5}",30,25,30,25,1,2,0,1,2,1
"('Sanchez Street', 'Valley Street')",-122.428959,37.744363,4,4,1,1,0,0,1,1,0,4,0,4,no,None,160.7030966,90.08182422,0.001098161,2.46E-05,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Scott Street', 'Union Street')",-122.4404433,37.7964679,4,4,1,1,0,0,1,1,0,4,0,4,no,None,162.3746519,90.06657758,2.60E-05,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Seminary Drive', 'Villa Laguna')",-122.5132689,37.8905091,3,3,1,1,0,0,1,1,0,3,0,3,no,None,156.3015303,118.996941,0.898704813,0.099106714,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('Shepherd Way', 'Trestle Glen Boulevard')",-122.4815538,37.9022949,3,3,1,1,0,0,1,1,0,3,0,3,no,None,188.7136037,93.06202142,0.199208914,0,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 4}","{'residential': 1, 'tertiary': 1, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('Sheridan Avenue', 'Taylor Road')",-122.4602634,37.7998753,3,3,1,1,0,0,1,1,0,3,0,3,no,None,159.4510013,113.1236372,0.149033249,0,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 5}","{'tertiary': 1, 'residential': 1, 'cycleway': 4}",25,25,25,25,0,2,1,0,2,1
"('Skyline Boulevard', 'Sloat Boulevard')",-122.4969176,37.73376697,5,6,3,1,0,0,3,1,0,5,0,6,no,None,115.8552463,170.1026332,5.110372013,0,-1,-1,no,0,0,yes,"{'primary': 2, 'cycleway': 4}","{'primary': 2, 'primary_link': 1, 'cycleway': 7}",40,25,40,25,3,0,2,3,0,3
"('Steiner Street', 'Union Street')",-122.4371517,37.7968863,4,4,1,1,0,0,1,1,0,4,0,4,no,no,16.44340431,90.11560648,0.000948773,0.000273634,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Sunnydale Avenue', 'Talbert Street')",-122.4068883,37.7093594,4,4,1,1,0,0,1,1,0,4,0,4,no,None,24.0986739,93.02754222,0.359038221,0,59.64026591,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Ulloa Street', 'West Portal Avenue')",-122.465833,37.7409207,3,3,1,1,4,6,1,1,0,3,0,3,no,no,145.5070225,95.11963014,0.484771091,0.058811868,-1,0.510090811,no,1,0,yes,"{'residential': 2, 'cycleway': 3, 'track': 4}","{'residential': 2, 'cycleway': 3, 'track': 6}",25,25,25,25,1,2,0,1,2,0
"('Virginia Avenue', 'Winfield Street')",-122.4188829,37.7420725,4,4,1,1,0,0,1,1,0,4,0,4,no,None,181.1319529,145.8189095,0.806530559,2.68E-05,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
